sigma,num_edges,num_communities,compute_time
200,2782758,1565,28.5966022000066
500,8064608,1063,96.88665850000689
1000,16970632,761,361.31225039999117
1500,25002679,615,716.5897601999895
2000,32203529,491,1137.8845793999935
