lon,lat,alt,ADF,ZOI
102.475563,36.213589,24300.0,1.637547564650314e-11,0
102.711708,35.850861,28425.0,1.2216934306175165e-32,0
102.956909,35.469639,29125.0,0.999999999999661,1
103.119682,35.21439,29100.0,0.0005393561606601539,0
103.279839,34.961342,29125.0,1.7465628826241893e-06,0
103.442001,34.703751,29125.0,1.6967396715303878e-17,0
103.521942,34.575981,29100.0,1.4708598134981735e-10,0
103.68055,34.321239,29100.0,3.0301658903367844e-07,0
103.759483,34.193851,29175.0,1.724824308325238e-13,0
104.400612,33.025974,29075.0,1.7193821207716233,1
104.510963,32.767181,29100.0,2.983108144593604e-17,0
104.562325,32.645416,29050.0,5.65869291606601e-09,0
104.584679,32.574783,28375.0,0.0001209565318560635,0
104.587753,32.56192,28200.0,9.073431904931917e-06,0
104.603409,32.423542,26650.0,0.6376822248412668,1
104.607864,32.339172,25650.0,0.8299215651746313,1
104.61187,32.269917,24875.0,14.889944256147633,1
104.615906,32.198555,24000.0,11.076442876649567,1
104.619728,32.127686,23050.0,12.272206920692103,1
104.623627,32.057831,22125.0,9.266623971775301,1
104.627289,31.991396,21250.0,8.97063304234145,1
104.631096,31.921783,20325.0,7.34607311728554,1
104.628845,31.889648,19875.0,3.7504964188453784,1
104.628075,31.88563,19825.0,3.6626242556242796,1
104.626541,31.879532,19750.0,3.349765625692309,1
104.625435,31.875528,19700.0,3.177070812356038,1
104.623184,31.86882,19600.0,1.6940881473555829,1
104.621101,31.863052,19550.0,0.5976187356305023,1
104.61882,31.857094,19475.0,0.1699350012861425,0
104.617531,31.853601,19425.0,0.08779533310963009,0
104.615852,31.849226,19375.0,0.04091250135378244,0
104.613556,31.843267,19300.0,0.01441097096284152,0
104.611374,31.837646,19225.0,0.004715263906424111,0
104.60907,31.831741,19150.0,0.00174203977690276,0
104.584953,31.769947,18325.0,0.0016650798211305913,0
104.561501,31.710407,17525.0,0.03097687327743502,0
104.538467,31.652161,16750.0,0.005247040905634099,0
104.516182,31.595795,16025.0,0.0149078484790811,0
104.494034,31.541611,15225.0,0.006566999154985501,0
104.471138,31.488539,14425.0,0.6554479747408946,1
104.448227,31.438356,13725.0,0.0016398093584919528,0
104.425537,31.388855,12925.0,6.300867339735568e-10,0
104.400383,31.340195,12150.0,0.02194083992046688,0
104.39753,31.336126,12075.0,0.10607557731859575,0
104.39489,31.332458,12000.0,0.1719924039585975,0
104.39193,31.328339,11950.0,0.11593917505757553,0
104.389938,31.325638,11925.0,0.0504766221059565,0
104.384727,31.318438,11875.0,0.0005755863417525185,0
104.369621,31.297768,11800.0,4.118407799526475e-09,0
104.357262,31.280684,11800.0,1.4530282320774005e-09,0
104.34642,31.265762,11800.0,3.3881626979100616e-06,0
104.324341,31.235184,11800.0,0.06493838320205766,0
104.308075,31.212662,11825.0,3.3334996870160296,1
104.281853,31.176682,11800.0,0.8715334040073767,1
104.26619,31.154991,11800.0,9.395024929163411e-06,0
104.251205,31.134293,11800.0,9.639041084776101e-09,0
104.219109,31.090097,11800.0,0.8801753478365121,1
104.203438,31.068604,11800.0,3.976270777796908e-06,0
104.187469,31.046572,11800.0,5.190912749878672e-13,0
104.171661,31.024841,11800.0,4.617341217015395e-05,0
104.156326,31.003557,11800.0,0.0019251649560072736,0
104.140808,30.982086,11800.0,9.845397078264407e-08,0
104.125343,30.96073,11800.0,0.007193109630967973,0
104.108597,30.937592,11800.0,0.07796842754292367,0
104.079895,30.897812,11800.0,0.02960158954664452,0
104.06662,30.879356,11800.0,0.0006146453778338311,0
104.053329,30.861061,11600.0,0.0003673509221094932,0
104.040527,30.843464,11075.0,0.00038881853085674233,0
104.027565,30.825727,10575.0,8.208175970169561e-06,0
104.01416,30.807154,10300.0,4.772092389129912e-09,0
104.000618,30.788315,10050.0,5.251214264967924e-10,0
103.98748,30.769913,9775.0,0.007582292415783595,0
103.973289,30.749987,9500.0,0.050318962941047346,0
103.960106,30.731693,9275.0,3.687845738501048e-05,0
103.94677,30.713104,9025.0,0.0003663620453601638,0
103.933037,30.694061,8750.0,0.0090558662561293,0
103.92012,30.676249,8525.0,2.0171274649072477e-08,0
103.907097,30.657953,8450.0,3.412873387410412e-08,0
103.894203,30.639862,8425.0,6.857197687115576e-11,0
103.880844,30.621317,8425.0,8.19928303843519e-11,0
103.867821,30.603348,8425.0,5.321484849928709e-06,0
103.855133,30.585659,8350.0,0.0010622990656631703,0
103.843048,30.568853,8225.0,0.013855469170220222,0
103.831085,30.552383,8075.0,0.004816642569945925,0
103.819778,30.536728,7950.0,0.04663158868608605,0
103.808884,30.521322,7800.0,0.07541914624162717,0
103.798279,30.506474,7625.0,0.1617268973034631,0
103.788162,30.492279,7500.0,0.869221152216654,1
103.778282,30.478401,7350.0,0.7876720142660598,1
103.769768,30.46439,7150.0,0.1352648759454492,0
103.76754,30.459595,7050.0,0.19089629449242773,0
103.761147,30.445351,6825.0,1.5027232764151779,1
103.754562,30.430893,6575.0,0.04532672437414203,0
103.74807,30.416861,6400.0,0.8616510500753964,1
103.741806,30.40308,6150.0,1.6810337670383366,1
103.735336,30.389145,5875.0,0.2974931010933232,0
103.729034,30.375412,5650.0,2.4712450999115925,1
103.722916,30.361929,5375.0,1.067651239771202,1
103.716698,30.348495,5225.0,0.49267228440748884,0
103.71067,30.334991,5000.0,0.03740154072001349,0
103.709785,30.330551,4950.0,0.04294094157679266,0
103.709969,30.325836,4900.0,0.03885022096264968,0
103.711266,30.321196,4800.0,0.03277635116523753,0
103.713631,30.317005,4725.0,0.03307653630772988,0
