lon,lat,alt,VBKDE,ZOI
102.475563,36.213589,24300.0,4.810785940838192,0
102.711708,35.850861,28425.0,1.8582456754315122,0
102.956909,35.469639,29125.0,2.9535704693766447,0
103.119682,35.21439,29100.0,2.323158049503565,0
103.279839,34.961342,29125.0,1.9618197152826664,0
103.442001,34.703751,29125.0,1.6712864459873493,0
103.521942,34.575981,29100.0,2.731400344726596,0
103.68055,34.321239,29100.0,5.345963538096207,1
103.759483,34.193851,29175.0,3.6366867810917394,0
104.400612,33.025974,29075.0,4.605789978489861,0
104.510963,32.767181,29100.0,0.3265772566867355,0
104.562325,32.645416,29050.0,1.2586643414196041,0
104.584679,32.574783,28375.0,4.2763639559602495,0
104.587753,32.56192,28200.0,4.017001557519432,0
104.603409,32.423542,26650.0,7.184566638652616,1
104.607864,32.339172,25650.0,2.658122412597452,0
104.61187,32.269917,24875.0,8.956559745541785,1
104.615906,32.198555,24000.0,6.3555933029941185,1
104.619728,32.127686,23050.0,6.140033094610386,1
104.623627,32.057831,22125.0,6.434257985296813,1
104.627289,31.991396,21250.0,6.9762742800903865,1
104.631096,31.921783,20325.0,8.116073532031978,1
104.628845,31.889648,19875.0,6.8378821845567925,1
104.628075,31.88563,19825.0,7.177272713654094,1
104.626541,31.879532,19750.0,7.13933520766769,1
104.625435,31.875528,19700.0,6.65110731786033,1
104.623184,31.86882,19600.0,4.391375307895995,0
104.621101,31.863052,19550.0,2.4267517169722144,0
104.61882,31.857094,19475.0,1.5216356051473734,0
104.617531,31.853601,19425.0,1.3724698088473384,0
104.615852,31.849226,19375.0,1.2624741717267658,0
104.613556,31.843267,19300.0,1.0795837721923425,0
104.611374,31.837646,19225.0,0.8864197247409266,0
104.60907,31.831741,19150.0,0.7225204539872079,0
104.584953,31.769947,18325.0,1.5485768917738896,0
104.561501,31.710407,17525.0,3.198917101826598,0
104.538467,31.652161,16750.0,1.1424279522474046,0
104.516182,31.595795,16025.0,0.15811178697423928,0
104.494034,31.541611,15225.0,0.9442609012947873,0
104.471138,31.488539,14425.0,2.828297519669565,0
104.448227,31.438356,13725.0,2.4783504812694037,0
104.425537,31.388855,12925.0,1.0729390979111053,0
104.400383,31.340195,12150.0,0.9891977496443191,0
104.39753,31.336126,12075.0,1.0215130500449083,0
104.39489,31.332458,12000.0,1.0256903596384181,0
104.39193,31.328339,11950.0,1.0034893511641385,0
104.389938,31.325638,11925.0,0.9697143090879861,0
104.384727,31.318438,11875.0,0.8112086874752258,0
104.369621,31.297768,11800.0,0.3066921695892973,0
104.357262,31.280684,11800.0,0.38837460837877585,0
104.34642,31.265762,11800.0,1.3215561582949766,0
104.324341,31.235184,11800.0,5.475030658443488,1
104.308075,31.212662,11825.0,7.357932957767468,1
104.281853,31.176682,11800.0,6.77258136356112,1
104.26619,31.154991,11800.0,2.111438521578879,0
104.251205,31.134293,11800.0,0.5022509874369976,0
104.219109,31.090097,11800.0,1.5760346290925005,0
104.203438,31.068604,11800.0,1.4050002622844615,0
104.187469,31.046572,11800.0,1.732090070423357,0
104.171661,31.024841,11800.0,4.0612290760266125,0
104.156326,31.003557,11800.0,4.547754169410502,0
104.140808,30.982086,11800.0,4.392423890053525,0
104.125343,30.96073,11800.0,6.093039370072274,1
104.108597,30.937592,11800.0,4.8797171749685315,0
104.079895,30.897812,11800.0,2.7602933241058523,0
104.06662,30.879356,11800.0,3.1784624579648004,0
104.053329,30.861061,11600.0,3.4794735084972435,0
104.040527,30.843464,11075.0,3.458542473024892,0
104.027565,30.825727,10575.0,2.469741894773084,0
104.01416,30.807154,10300.0,1.313163673364934,0
104.000618,30.788315,10050.0,1.3588013709350921,0
103.98748,30.769913,9775.0,2.162652328992247,0
103.973289,30.749987,9500.0,2.50826584480624,0
103.960106,30.731693,9275.0,1.832078327587751,0
103.94677,30.713104,9025.0,1.6759185036846185,0
103.933037,30.694061,8750.0,2.010462920968341,0
103.92012,30.676249,8525.0,2.1649209303096892,0
103.907097,30.657953,8450.0,2.1612514344743614,0
103.894203,30.639862,8425.0,2.4594547607929726,0
103.880844,30.621317,8425.0,2.8826408388519615,0
103.867821,30.603348,8425.0,3.177874467412885,0
103.855133,30.585659,8350.0,3.540538787184641,0
103.843048,30.568853,8225.0,4.110197626209072,0
103.831085,30.552383,8075.0,4.838156008296245,0
103.819778,30.536728,7950.0,6.027551765549212,1
103.808884,30.521322,7800.0,6.254615421743331,1
103.798279,30.506474,7625.0,5.987845749326715,1
103.788162,30.492279,7500.0,6.644642914518654,1
103.778282,30.478401,7350.0,6.846616000211791,1
103.769768,30.46439,7150.0,5.29053204356124,1
103.76754,30.459595,7050.0,4.720983763819107,0
103.761147,30.445351,6825.0,4.069945526446935,0
103.754562,30.430893,6575.0,4.377619465622807,0
103.74807,30.416861,6400.0,5.997271172422705,1
103.741806,30.40308,6150.0,6.47942416257254,1
103.735336,30.389145,5875.0,5.457049928733437,1
103.729034,30.375412,5650.0,7.212652982555046,1
103.722916,30.361929,5375.0,5.303605237379103,1
103.716698,30.348495,5225.0,3.809986593558032,0
103.71067,30.334991,5000.0,3.7171124857753455,0
103.709785,30.330551,4950.0,3.8260525450222813,0
103.709969,30.325836,4900.0,3.9477639607634316,0
103.711266,30.321196,4800.0,4.018623536027182,0
103.713631,30.317005,4725.0,4.182367827196553,0
103.716805,30.313431,4625.0,4.2960544496882695,0
103.721062,30.310318,4525.0,4.506079011989243,0
103.725937,30.308022,4475.0,4.739736700116319,0
103.730865,30.306381,4450.0,4.964899908738539,0
103.736465,30.304825,4425.0,5.069299297122092,0
