lon,lat,alt,ZOI_DBSCAN
102.475563,36.213589,24300.0,0
102.711708,35.850861,28425.0,0
102.956909,35.469639,29125.0,0
103.119682,35.21439,29100.0,0
103.279839,34.961342,29125.0,0
103.442001,34.703751,29125.0,0
103.521942,34.575981,29100.0,0
103.68055,34.321239,29100.0,0
103.759483,34.193851,29175.0,0
104.400612,33.025974,29075.0,0
104.510963,32.767181,29100.0,0
104.562325,32.645416,29050.0,0
104.584679,32.574783,28375.0,0
104.587753,32.56192,28200.0,0
104.603409,32.423542,26650.0,0
104.607864,32.339172,25650.0,1
104.61187,32.269917,24875.0,1
104.615906,32.198555,24000.0,1
104.619728,32.127686,23050.0,1
104.623627,32.057831,22125.0,1
104.627289,31.991396,21250.0,1
104.631096,31.921783,20325.0,1
104.628845,31.889648,19875.0,1
104.628075,31.88563,19825.0,1
104.626541,31.879532,19750.0,1
104.625435,31.875528,19700.0,1
104.623184,31.86882,19600.0,1
104.621101,31.863052,19550.0,1
104.61882,31.857094,19475.0,0
104.617531,31.853601,19425.0,1
104.615852,31.849226,19375.0,0
104.613556,31.843267,19300.0,0
104.611374,31.837646,19225.0,0
104.60907,31.831741,19150.0,0
104.584953,31.769947,18325.0,0
104.561501,31.710407,17525.0,0
104.538467,31.652161,16750.0,0
104.516182,31.595795,16025.0,1
104.494034,31.541611,15225.0,0
104.471138,31.488539,14425.0,0
104.448227,31.438356,13725.0,0
104.425537,31.388855,12925.0,0
104.400383,31.340195,12150.0,0
104.39753,31.336126,12075.0,0
104.39489,31.332458,12000.0,0
104.39193,31.328339,11950.0,0
104.389938,31.325638,11925.0,0
104.384727,31.318438,11875.0,0
104.369621,31.297768,11800.0,0
104.357262,31.280684,11800.0,0
104.34642,31.265762,11800.0,0
104.324341,31.235184,11800.0,0
104.308075,31.212662,11825.0,0
104.281853,31.176682,11800.0,0
104.26619,31.154991,11800.0,0
104.251205,31.134293,11800.0,0
104.219109,31.090097,11800.0,0
104.203438,31.068604,11800.0,0
104.187469,31.046572,11800.0,0
104.171661,31.024841,11800.0,0
104.156326,31.003557,11800.0,0
104.140808,30.982086,11800.0,0
104.125343,30.96073,11800.0,0
104.108597,30.937592,11800.0,0
104.079895,30.897812,11800.0,0
104.06662,30.879356,11800.0,0
104.053329,30.861061,11600.0,0
104.040527,30.843464,11075.0,0
104.027565,30.825727,10575.0,0
104.01416,30.807154,10300.0,0
104.000618,30.788315,10050.0,0
103.98748,30.769913,9775.0,0
103.973289,30.749987,9500.0,0
103.960106,30.731693,9275.0,0
103.94677,30.713104,9025.0,0
103.933037,30.694061,8750.0,0
103.92012,30.676249,8525.0,0
103.907097,30.657953,8450.0,0
103.894203,30.639862,8425.0,0
103.880844,30.621317,8425.0,0
103.867821,30.603348,8425.0,0
103.855133,30.585659,8350.0,0
103.843048,30.568853,8225.0,0
103.831085,30.552383,8075.0,0
103.819778,30.536728,7950.0,0
103.808884,30.521322,7800.0,0
103.798279,30.506474,7625.0,0
103.788162,30.492279,7500.0,0
103.778282,30.478401,7350.0,0
103.769768,30.46439,7150.0,0
103.76754,30.459595,7050.0,0
103.761147,30.445351,6825.0,0
103.754562,30.430893,6575.0,0
103.74807,30.416861,6400.0,0
103.741806,30.40308,6150.0,0
103.735336,30.389145,5875.0,0
103.729034,30.375412,5650.0,0
103.722916,30.361929,5375.0,0
103.716698,30.348495,5225.0,0
103.71067,30.334991,5000.0,0
103.709785,30.330551,4950.0,0
103.709969,30.325836,4900.0,0
103.711266,30.321196,4800.0,0
103.713631,30.317005,4725.0,0
103.716805,30.313431,4625.0,0
103.721062,30.310318,4525.0,0
103.725937,30.308022,4475.0,0
103.730865,30.306381,4450.0,0
103.736465,30.304825,4425.0,0
103.741699,30.303459,4425.0,0
103.74691,30.30217,4425.0,0
103.752457,30.300842,4425.0,0
103.763565,30.298199,4425.0,0
103.774216,30.295637,4425.0,0
103.779228,30.2948,4425.0,0
103.785416,30.294754,4425.0,0
103.79113,30.29567,4375.0,1
103.796738,30.297733,4325.0,1
103.80098,30.30011,4275.0,1
103.805939,30.303452,4225.0,1
103.809868,30.306335,4175.0,1
103.814262,30.309696,4125.0,1
103.818108,30.312698,4075.0,1
103.822578,30.316177,4025.0,1
103.830605,30.322449,3925.0,1
103.838875,30.328876,3825.0,1
103.846924,30.335678,3725.0,1
103.850151,30.339386,3675.0,1
103.853218,30.343689,3625.0,1
103.855698,30.347763,3575.0,1
103.85791,30.351654,3525.0,1
103.860329,30.356323,3475.0,1
103.862648,30.361038,3450.0,1
103.864578,30.364908,3425.0,1
103.866722,30.369377,3425.0,1
103.868919,30.37394,3425.0,1
103.872986,30.382364,3425.0,1
103.877327,30.391582,3425.0,1
103.881226,30.400085,3450.0,1
103.885155,30.4086,3425.0,1
103.88871,30.416382,3400.0,1
103.892319,30.424076,3250.0,1
103.8955,30.430893,3100.0,1
103.898994,30.438446,2975.0,1
103.902321,30.445583,2825.0,1
103.905449,30.452286,2675.0,1
103.908585,30.459129,2525.0,1
103.911705,30.465775,2375.0,1
103.914558,30.471909,2250.0,1
103.91774,30.478775,2125.0,1
103.920883,30.485617,1975.0,1
103.923904,30.492043,1825.0,1
103.927002,30.498734,1700.0,1
103.931488,30.508429,1500.0,1
103.934166,30.51416,1375.0,1
103.941879,36.418079,21400.0,0
103.9757,36.300659,22075.0,0
104.03363,36.066631,26075.0,0
104.040466,35.946709,26600.0,0
104.046898,35.825211,26575.0,0
104.060219,35.56921,26600.0,0
104.085899,35.058159,26600.0,0
104.092659,34.92149,26625.0,0
104.099174,34.793144,26600.0,0
104.105759,34.66671,26600.0,0
104.112167,34.540924,26600.0,0
104.118607,34.412979,26600.0,0
104.587151,32.740932,26600.0,1
104.603195,32.435623,26600.0,0
104.606491,32.36684,26200.0,1
104.611984,32.272293,25050.0,1
104.615829,32.204498,24225.0,1
104.6194,32.139816,23375.0,1
104.622856,32.075703,22550.0,1
104.626266,32.010956,21675.0,1
104.629837,31.946869,20825.0,1
104.6334,31.882835,19975.0,1
104.636642,31.822998,19150.0,0
104.640411,31.755661,18450.0,0
104.644127,31.697021,17825.0,0
104.647743,31.638624,17225.0,0
104.651558,31.577408,16575.0,0
104.65522,31.518723,15950.0,0
104.658882,31.460999,15300.0,0
104.658401,31.429649,14925.0,0
104.657646,31.426071,14875.0,0
104.656731,31.422363,14850.0,0
104.655106,31.417267,14775.0,0
104.653717,31.413803,14725.0,0
104.652367,31.410782,14700.0,0
104.650269,31.406708,14650.0,0
104.648544,31.403824,14600.0,0
104.64637,31.400461,14550.0,0
104.643234,31.396318,14500.0,0
104.641037,31.393759,14475.0,0
104.637741,31.390221,14400.0,0
104.635933,31.388405,14375.0,0
104.632065,31.38501,14325.0,0
104.628136,31.381897,14275.0,0
104.625053,31.379745,14225.0,0
104.621758,31.377605,14200.0,0
104.617203,31.374939,14150.0,0
104.61187,31.372019,14075.0,0
104.60939,31.370682,14050.0,0
104.604401,31.368015,14000.0,0
104.599625,31.365501,13950.0,0
104.595444,31.363314,13900.0,0
104.591995,31.361481,13875.0,0
104.589684,31.360245,13850.0,0
104.584084,31.357269,13825.0,0
