lon,lat,alt,KDE,ZOI
102.475563,36.213589,24300.0,1.4580210635981552e-16,0
102.711708,35.850861,28425.0,6.292390624202522e-41,0
102.956909,35.469639,29125.0,0.999999999999661,1
103.119682,35.21439,29100.0,3.776507590272745e-06,0
103.279839,34.961342,29125.0,1.724196940900561e-10,0
103.442001,34.703751,29125.0,1.696868878732006e-17,0
103.521942,34.575981,29100.0,2.139094102213028e-17,0
103.68055,34.321239,29100.0,1.2963049641810026e-11,0
103.759483,34.193851,29175.0,6.107594872261981e-19,0
104.400612,33.025974,29075.0,1.6067886868037256,1
104.510963,32.767181,29100.0,8.103870768701632e-25,0
104.562325,32.645416,29050.0,8.710378061379078e-14,0
104.584679,32.574783,28375.0,6.773250251877949e-06,0
104.587753,32.56192,28200.0,6.537905928022591e-06,0
104.603409,32.423542,26650.0,0.3730232587969509,1
104.607864,32.339172,25650.0,0.5000056829397999,1
104.61187,32.269917,24875.0,12.002678465186554,1
104.615906,32.198555,24000.0,7.999235272728457,1
104.619728,32.127686,23050.0,8.91219679788478,1
104.623627,32.057831,22125.0,7.112315528887753,1
104.627289,31.991396,21250.0,6.970126555626374,1
104.631096,31.921783,20325.0,6.010763067421006,1
104.628845,31.889648,19875.0,2.6814928488086527,1
104.628075,31.88563,19825.0,2.5242536599497174,1
104.626541,31.879532,19750.0,2.004227956621604,1
104.625435,31.875528,19700.0,1.8310343473185495,1
104.623184,31.86882,19600.0,0.7431569768916346,1
104.621101,31.863052,19550.0,0.14905911322821405,0
104.61882,31.857094,19475.0,0.024098117059796097,0
104.617531,31.853601,19425.0,0.010324106739552716,0
104.615852,31.849226,19375.0,0.004120516251117267,0
104.613556,31.843267,19300.0,0.0009434142291917696,0
104.611374,31.837646,19225.0,0.0003965284027068519,0
104.60907,31.831741,19150.0,0.0005540425094185205,0
104.584953,31.769947,18325.0,0.0005312682794959204,0
104.561501,31.710407,17525.0,0.016430889315028816,0
104.538467,31.652161,16750.0,0.00260483371027591,0
104.516182,31.595795,16025.0,0.0005405294134802052,0
104.494034,31.541611,15225.0,0.0005447097512418913,0
104.471138,31.488539,14425.0,0.5859418917688404,1
104.448227,31.438356,13725.0,0.00021484156430189556,0
104.425537,31.388855,12925.0,6.110112190000967e-10,0
104.400383,31.340195,12150.0,0.017745128516007607,0
104.39753,31.336126,12075.0,0.09370081324147858,0
104.39489,31.332458,12000.0,0.1560933836184436,0
104.39193,31.328339,11950.0,0.10292464955676182,0
104.389938,31.325638,11925.0,0.04277276616857015,0
104.384727,31.318438,11875.0,0.00037970253530845397,0
104.369621,31.297768,11800.0,2.664994935377689e-14,0
104.357262,31.280684,11800.0,3.000234010298725e-15,0
104.34642,31.265762,11800.0,3.414138793350345e-09,0
104.324341,31.235184,11800.0,0.007516754726078542,0
104.308075,31.212662,11825.0,3.1297073862659017,1
104.281853,31.176682,11800.0,0.8514830907090152,1
104.26619,31.154991,11800.0,9.974280385963693e-08,0
104.251205,31.134293,11800.0,5.639424179661902e-13,0
104.219109,31.090097,11800.0,0.880175347836512,1
104.203438,31.068604,11800.0,1.1094237701616808e-07,0
104.187469,31.046572,11800.0,4.719708663282688e-13,0
104.171661,31.024841,11800.0,3.1739628478417637e-07,0
104.156326,31.003557,11800.0,0.0002284569164687361,0
104.140808,30.982086,11800.0,6.47608267732529e-09,0
104.125343,30.96073,11800.0,0.0015600803685892166,0
104.108597,30.937592,11800.0,0.04326611400276917,0
104.079895,30.897812,11800.0,0.003844238061096951,0
104.06662,30.879356,11800.0,1.184804913048899e-05,0
104.053329,30.861061,11600.0,1.1842085400610904e-06,0
104.040527,30.843464,11075.0,0.00027088400617776185,0
104.027565,30.825727,10575.0,1.8982118495839368e-08,0
104.01416,30.807154,10300.0,1.547517299671593e-12,0
104.000618,30.788315,10050.0,1.063634364955929e-12,0
103.98748,30.769913,9775.0,0.001969671564851846,0
103.973289,30.749987,9500.0,0.049797224447338556,0
103.960106,30.731693,9275.0,3.687923526754553e-05,0
103.94677,30.713104,9025.0,3.571631625000853e-05,0
103.933037,30.694061,8750.0,0.002304972014960424,0
103.92012,30.676249,8525.0,1.538262415432239e-11,0
103.907097,30.657953,8450.0,4.758806691192304e-13,0
103.894203,30.639862,8425.0,4.823104572596943e-14,0
103.880844,30.621317,8425.0,1.2358055627975651e-11,0
103.867821,30.603348,8425.0,1.0100394182391336e-06,0
103.855133,30.585659,8350.0,7.950657994182903e-06,0
103.843048,30.568853,8225.0,0.0007387315125220652,0
103.831085,30.552383,8075.0,0.00020798443164180838,0
103.819778,30.536728,7950.0,0.011619820100027852,0
103.808884,30.521322,7800.0,0.02164255664186505,0
103.798279,30.506474,7625.0,0.09962547115578418,0
103.788162,30.492279,7500.0,0.5430797979506348,1
103.778282,30.478401,7350.0,0.5121625255151419,1
103.769768,30.46439,7150.0,0.04534431213942292,0
103.76754,30.459595,7050.0,0.06184115483791301,0
103.761147,30.445351,6825.0,1.2434082963141486,1
103.754562,30.430893,6575.0,0.027041211004392666,0
103.74807,30.416861,6400.0,0.7391321052745778,1
103.741806,30.40308,6150.0,1.3982030968529027,1
103.735336,30.389145,5875.0,0.09415751820047724,0
103.729034,30.375412,5650.0,1.7538326880083845,1
103.722916,30.361929,5375.0,0.6723983368661759,1
103.716698,30.348495,5225.0,0.24901800393636572,0
103.71067,30.334991,5000.0,0.010320890308793162,0
103.709785,30.330551,4950.0,0.016559990662286476,0
103.709969,30.325836,4900.0,0.010279953866191315,0
103.711266,30.321196,4800.0,0.003713314497993042,0
